N (kg/ha),P (kg/ha),K (kg/ha),Fertilizer A (kg/ha),Fertilizer B (kg/ha),Crop Yield (tons/ha),Soil Type,"Climate (Temp °C, Rainfall mm)"
30.03,17.46,66.09,117.78,48.92,4.94,Loam,"(30.782015146984637, 291.6819447244676)"
35.4,48.82,26.37,104.8,42.25,7.75,Sandy Clay Loam,"(26.125271400731112, 419.86359201053966)"
66.02,40.77,70.53,85.77,63.68,5.52,Sandy Loam,"(24.5637876212868, 182.67426293693003)"
38.38,22.62,58.66,140.12,37.54,5.18,Silty Clay,"(21.632221863731466, 386.60437910836356)"
49.37,42.1,53.51,60.08,45.56,7.39,Sandy Loam,"(30.148075539657434, 181.82776690002817)"
49.55,47.92,27.67,42.14,55.83,5.13,Clayey Loam,"(22.090101303410506, 323.8502349217821)"
32.73,41.2,53.98,95.52,99.09,6.12,Clayey Loam,"(27.338933991296734, 470.59715655136193)"
37.08,46.09,47.05,146.66,36.52,4.37,Clayey Loam,"(27.88386371152158, 240.86618890914332)"
57.56,38.85,50.95,119.67,68.28,7.43,Sandy Loam,"(31.854022813110348, 496.12085305624987)"
31.43,21.68,29.17,139.84,90.4,7.67,Silty Clay,"(31.460088247004244, 286.53603798175936)"
54.32,25.03,71.79,64.43,92.97,4.22,Silty Clay Loam,"(17.474278327482793, 244.518688321774)"
42.17,20.89,72.24,80.85,91.98,8.33,Sandy Loam,"(16.581616425581107, 312.652264671582)"
42.96,41.42,26.57,83.51,50.51,4.14,Clayey Loam,"(18.15245511437793, 477.2399274130834)"
62.42,25.77,36.58,138.25,73.24,6.86,Silty Clay Loam,"(27.118200016264048, 462.1885481708773)"
34.76,43.06,58.76,135.38,74.71,8.08,Loam,"(21.381341663019708, 275.1177956092721)"
39.01,24.86,31.78,146.64,88.17,5.77,Silty Clay Loam,"(22.550318790336505, 397.50358784974844)"
32.15,41.39,43.82,110.56,35.59,4.52,Sandy Loam,"(18.453738021454342, 227.27751377421333)"
42.13,23.47,56.57,96.26,84.07,4.46,Loam,"(21.79451608028051, 429.8639307253767)"
42.68,45.01,73.82,49.54,59.51,6.81,Loam,"(26.16516284367192, 235.39145061449204)"
41.66,49.0,39.29,80.62,88.84,5.91,Loam,"(21.168142188932116, 206.63294279566682)"
66.85,21.12,43.6,147.13,95.39,6.53,Silty Clay Loam,"(31.0535027535851, 142.36006682578315)"
39.78,18.84,59.05,43.29,64.24,6.79,Silty Clay,"(27.109538826356953, 226.74340344043074)"
52.89,22.59,40.75,52.31,33.36,5.3,Silty Clay,"(23.13067825137198, 274.18282732690477)"
38.67,30.05,56.85,48.81,69.97,5.67,Silty Clay Loam,"(21.82798886582438, 343.601552885421)"
48.61,40.54,55.04,113.45,99.6,4.9,Silty Clay,"(28.509257028507392, 225.47663932871603)"
37.23,21.35,71.17,137.01,69.29,8.23,Silty Clay,"(23.270062722075245, 464.47295254267027)"
33.97,39.08,43.21,79.81,31.56,7.84,Silty Clay,"(25.649590493875408, 461.54647528775973)"
46.12,46.75,73.96,46.09,26.84,6.96,Clayey Loam,"(23.198033771319224, 216.58373109115183)"
50.05,21.58,39.05,55.46,59.07,7.47,Sandy Loam,"(25.016261597198856, 476.7975992571216)"
60.96,16.87,72.64,105.32,41.63,4.64,Sandy,"(18.56878721894678, 252.50796467659532)"
42.45,15.78,69.48,84.51,59.93,7.17,Silty Clay Loam,"(28.13928545417003, 159.7710065403112)"
57.88,24.11,47.59,67.02,41.79,8.04,Clayey Loam,"(16.842006779257282, 224.19701838901616)"
47.51,27.14,52.92,112.77,54.66,7.83,Sandy,"(16.569036501271977, 203.29002383043093)"
46.68,46.84,63.78,107.3,75.36,5.15,Sandy Clay Loam,"(23.920054927076762, 406.35067557378835)"
36.22,47.18,42.15,54.01,44.65,7.19,Clayey Loam,"(16.671041426467127, 324.1620367767532)"
62.08,28.5,63.31,134.45,47.74,8.05,Sandy Clay Loam,"(15.886146528728675, 304.1266748642448)"
67.92,42.7,55.38,107.93,37.16,4.31,Silty Clay Loam,"(25.960599701492576, 310.8928099136408)"
34.3,36.53,38.25,75.24,33.72,4.23,Silty Clay,"(27.42451918632551, 450.3082088287899)"
55.27,41.14,28.75,63.7,81.19,8.35,Silty Clay,"(19.540382228453108, 419.90654883493)"
45.17,48.07,68.09,124.31,86.78,8.05,Clayey Loam,"(24.350639803727802, 235.7190303945775)"
42.7,34.05,62.02,103.48,92.43,6.9,Loam,"(25.098921806252203, 396.2470055926538)"
37.22,42.41,39.29,132.16,36.6,8.46,Sandy Clay Loam,"(31.837418353600256, 235.64042279165952)"
43.82,33.87,28.5,65.25,61.57,5.89,Silty Clay Loam,"(28.97298613210664, 269.40160996490624)"
43.16,31.03,72.9,140.68,62.03,7.36,Sandy Loam,"(24.90213599124885, 320.38444388947187)"
55.54,33.07,59.83,146.32,88.95,6.07,Clayey Loam,"(24.49721220841539, 283.13214652587027)"
65.86,26.44,60.29,91.1,97.07,6.49,Sandy Loam,"(25.10946820190978, 417.77105894266373)"
51.65,33.94,72.51,56.25,99.92,5.33,Sandy Clay Loam,"(23.901801156407476, 406.65595866137136)"
34.86,47.52,71.05,89.61,39.79,4.8,Silty Clay,"(16.425796657039058, 128.2153426658658)"
65.96,17.81,62.65,129.29,35.0,5.29,Loam,"(28.730775315881807, 441.54929433347866)"
55.54,16.01,25.95,47.41,39.59,4.94,Clayey Loam,"(22.73389425513694, 301.9955684464059)"
57.24,24.52,72.21,91.3,90.39,7.1,Sandy Loam,"(30.695138558946397, 405.0155416980849)"
60.89,18.9,40.79,128.86,67.37,5.23,Silty Clay,"(25.06098269691335, 373.0376025979067)"
50.47,33.98,44.59,56.92,29.07,7.09,Sandy Clay Loam,"(16.080403647448804, 395.12264868948944)"
62.88,18.75,59.75,81.08,52.97,7.96,Sandy Clay Loam,"(23.09160324717677, 315.4017341781158)"
45.06,36.38,25.18,142.59,74.7,4.27,Silty Clay,"(16.31873220431744, 144.58677130307439)"
68.66,35.06,58.69,82.11,91.85,4.94,Sandy Loam,"(25.08878209316136, 384.00598478003843)"
48.45,36.44,54.21,118.19,80.2,6.76,Sandy,"(31.238288478867364, 124.03034923757426)"
41.74,37.86,44.47,61.0,44.01,6.57,Silty Clay Loam,"(16.794975220926702, 461.002927006159)"
55.79,25.07,62.81,57.91,37.72,4.8,Sandy Loam,"(26.927016949321576, 426.93581015774004)"
65.83,29.22,55.97,107.46,36.27,6.27,Loam,"(22.005601258877135, 249.82614890221905)"
63.54,30.98,55.95,53.42,39.53,4.72,Sandy Loam,"(28.967372335754533, 379.4025238703745)"
31.01,42.54,72.36,47.01,75.09,7.33,Sandy Clay Loam,"(21.861436985153766, 120.02258951881157)"
61.47,39.84,44.1,45.55,44.13,5.62,Clayey Loam,"(31.412550698259665, 331.4107626025386)"
62.07,20.18,46.92,89.22,30.59,7.41,Sandy Clay Loam,"(28.071516149576105, 327.395579148921)"
46.09,44.33,74.29,77.39,65.33,7.47,Sandy Clay Loam,"(25.66595099242311, 494.80738618002067)"
35.11,15.43,64.76,74.52,97.66,6.11,Loam,"(26.297633182758517, 215.11603801052502)"
45.75,16.93,52.33,109.09,87.56,7.96,Silty Clay,"(26.753581533728592, 194.22027803499265)"
60.52,49.36,70.34,137.56,70.48,7.57,Silty Clay Loam,"(30.65279110645322, 153.75576883049516)"
47.26,35.61,41.74,136.67,47.68,5.16,Sandy Clay Loam,"(29.464291317808744, 155.8475005297626)"
41.67,34.87,36.39,61.23,52.52,7.28,Sandy Clay Loam,"(31.420118176091993, 450.71957370740523)"
66.52,43.0,62.52,145.26,60.87,8.46,Sandy Loam,"(17.32074179562469, 301.7803705568119)"
69.05,40.11,64.32,45.01,22.66,5.99,Sandy Clay Loam,"(23.380534947750245, 473.9211039533231)"
50.1,46.35,72.02,69.17,55.25,6.16,Loam,"(15.337745868587382, 222.44763565620326)"
46.22,28.79,45.11,133.1,80.96,6.77,Sandy,"(23.193847239683414, 157.20494739422367)"
48.77,46.97,62.21,60.26,52.15,7.31,Sandy,"(26.625741527668577, 389.73501188177136)"
63.64,37.03,74.87,108.53,97.42,4.83,Silty Clay Loam,"(19.398245333865443, 284.83521030307577)"
63.71,21.66,35.09,50.62,79.44,6.83,Silty Clay,"(19.575678450523565, 159.8791504481067)"
40.22,43.7,52.15,145.33,49.64,5.24,Sandy Clay Loam,"(26.153306933277527, 371.9092532513665)"
44.88,32.55,49.85,145.0,65.68,6.77,Sandy Clay Loam,"(30.167403391696727, 394.916917073597)"
53.4,29.72,37.41,41.22,56.0,6.27,Sandy Clay Loam,"(31.083519575781054, 325.4796386902618)"
62.82,39.47,29.64,94.45,32.51,7.44,Loam,"(22.75373840523462, 299.08476393702887)"
64.1,46.32,63.66,87.52,34.24,8.44,Silty Clay Loam,"(23.349291419541863, 296.04839991699)"
40.54,32.07,54.41,83.4,25.16,5.94,Silty Clay,"(17.688839967113914, 473.3213451599367)"
58.84,16.11,55.18,82.19,99.79,4.9,Silty Clay Loam,"(15.129720654432473, 186.60658524277176)"
59.88,17.57,50.41,95.58,49.44,6.2,Sandy Clay Loam,"(18.35284219147288, 470.17399920817326)"
58.55,32.5,60.28,88.26,77.01,5.15,Silty Clay Loam,"(15.998641548652644, 466.64266033395154)"
46.13,32.48,30.38,101.13,94.91,8.35,Sandy Loam,"(27.912952371838472, 215.40157430626383)"
61.92,31.75,49.27,51.14,69.89,5.45,Silty Clay,"(31.800894066518, 158.85936349036984)"
30.96,30.3,25.86,147.38,73.13,6.27,Sandy,"(22.663343026931617, 393.74502707430287)"
64.13,48.39,54.0,114.26,24.3,4.35,Loam,"(20.60421505098119, 421.5744868401414)"
50.5,19.05,66.77,124.61,65.42,6.8,Silty Clay Loam,"(31.375612232774465, 382.1278000247347)"
60.82,20.49,38.66,48.55,94.87,5.92,Sandy,"(15.95008516951928, 296.4953034197347)"
46.93,43.79,50.0,140.58,57.77,5.97,Loam,"(20.507960396267837, 270.14428562484545)"
37.63,45.27,34.54,147.0,40.23,5.48,Silty Clay Loam,"(21.639899070415456, 269.1701500328836)"
51.78,36.56,66.88,100.08,21.37,5.31,Sandy Loam,"(29.705233205722312, 424.7298006319613)"
44.4,28.29,40.83,50.31,71.68,7.61,Sandy Loam,"(15.299628008968604, 470.6009056617421)"
58.42,29.41,28.04,40.43,31.59,7.89,Sandy,"(31.168989020322822, 190.57647985509823)"
50.6,35.24,38.46,47.73,67.9,8.03,Sandy Loam,"(18.53728341014865, 324.9197078560968)"
46.25,45.6,67.76,130.38,91.69,7.07,Sandy Clay Loam,"(25.17249395399945, 191.06167915205708)"
30.7,42.85,68.67,57.89,50.6,4.6,Silty Clay,"(27.045960813730726, 352.4223018859851)"
51.22,38.24,50.43,143.05,48.44,5.83,Sandy Loam,"(26.581381564928314, 170.448930756806)"
37.65,27.24,59.43,47.95,22.35,4.77,Loam,"(19.57563347245338, 380.5337144601475)"
34.67,33.91,32.61,67.69,42.49,4.44,Silty Clay,"(24.96714134929592, 393.46852350634805)"
41.59,44.92,44.2,140.58,70.25,4.17,Sandy Loam,"(22.990368261424813, 182.15157481584052)"
69.71,33.71,39.8,76.32,76.86,5.55,Sandy,"(20.650566783518286, 306.1539285908641)"
47.85,39.2,74.45,109.81,98.95,7.45,Sandy Loam,"(19.894090329447316, 263.53907363196095)"
35.15,23.9,32.24,109.69,24.19,4.45,Sandy Clay Loam,"(20.137331107958456, 198.89595057324613)"
31.69,39.47,65.83,62.0,46.86,6.99,Clayey Loam,"(21.52181091315805, 379.4908599929392)"
36.67,29.29,41.64,139.13,21.08,8.19,Silty Clay,"(19.36524745087239, 139.34621671850869)"
37.51,28.42,71.62,111.78,82.96,4.98,Silty Clay Loam,"(28.529251308870407, 188.4615743350924)"
55.99,34.65,36.62,54.41,22.44,7.81,Silty Clay,"(29.336580209654006, 315.0597810913746)"
41.24,36.55,31.45,87.54,29.47,5.45,Loam,"(25.744521278955368, 373.29400606128536)"
32.27,37.83,30.08,117.49,66.37,7.09,Loam,"(28.866000014718928, 338.1103499571011)"
39.77,46.45,48.89,108.22,32.25,6.02,Sandy,"(16.41904293292345, 145.35909192856124)"
58.19,44.67,35.29,141.38,98.86,6.52,Sandy Clay Loam,"(20.490994306110018, 465.1819339685077)"
64.18,24.09,38.26,145.76,38.74,5.25,Silty Clay Loam,"(31.803687954243536, 245.82760442848738)"
39.67,44.08,30.19,132.08,21.72,8.3,Loam,"(15.784309877794778, 167.8660204465848)"
39.66,27.8,30.19,84.19,61.85,4.06,Silty Clay Loam,"(28.535375899789397, 194.44282506299987)"
48.4,40.56,56.43,134.71,33.32,7.45,Sandy,"(25.476657901525886, 481.6035145306931)"
38.38,17.48,38.76,47.89,67.71,5.99,Sandy Clay Loam,"(30.480257959672542, 206.14261773645524)"
64.73,40.03,58.74,132.19,85.63,6.46,Silty Clay,"(21.235308449353383, 179.16539951760123)"
49.45,21.87,67.4,63.09,35.54,6.1,Clayey Loam,"(21.2237456068638, 492.5226464245809)"
53.37,16.97,54.12,74.28,38.44,4.79,Clayey Loam,"(21.919653486085178, 160.41381302650902)"
61.85,28.91,69.56,68.07,93.55,7.27,Loam,"(16.753671312940593, 418.4479784376524)"
34.07,28.35,72.29,139.1,39.98,6.27,Loam,"(18.35300190249963, 368.70511691337657)"
32.72,47.1,46.61,42.41,84.85,4.91,Clayey Loam,"(23.82819048491451, 381.3797888935396)"
56.81,15.07,47.46,96.04,78.45,5.9,Silty Clay,"(21.379884140297865, 497.25432359615274)"
45.29,45.81,43.12,119.72,44.62,8.25,Loam,"(24.173435069729685, 307.4146320482407)"
40.73,17.23,30.36,115.1,93.35,4.13,Silty Clay,"(17.846464099378803, 163.71907675051318)"
50.36,25.16,34.43,113.27,66.2,5.02,Silty Clay,"(24.436665175183922, 358.9755977232503)"
51.67,36.99,27.25,104.08,52.64,4.28,Silty Clay,"(23.202880976523048, 256.2769857411486)"
56.13,41.3,57.68,78.18,83.29,4.06,Silty Clay Loam,"(24.319589533765786, 380.5013164882516)"
68.88,31.52,58.21,63.27,96.76,6.58,Sandy,"(27.528487852497292, 454.1608074812058)"
32.37,28.9,50.17,63.72,78.89,4.85,Sandy Loam,"(21.540436776085752, 401.86704049312357)"
46.69,16.08,49.32,131.0,98.42,7.75,Sandy,"(25.565824490416638, 458.7327084635796)"
52.84,48.11,51.34,135.91,41.18,6.69,Sandy Loam,"(23.032799017705358, 230.36079348587924)"
36.93,16.88,66.54,114.06,22.42,6.25,Silty Clay,"(18.967158857671432, 425.0370442061963)"
60.64,20.76,60.31,112.73,64.95,7.52,Sandy Loam,"(19.09997557292643, 461.2356825134616)"
36.58,16.84,65.86,79.07,26.98,5.61,Clayey Loam,"(16.111117319617232, 337.9028624570974)"
39.62,31.99,71.18,148.93,38.58,5.55,Clayey Loam,"(24.049792788621204, 334.06962793851807)"
62.5,29.12,49.27,122.56,53.85,7.18,Silty Clay Loam,"(25.416673934684848, 401.73544440576154)"
47.44,15.43,54.42,82.43,83.52,4.77,Silty Clay Loam,"(21.675017695527735, 324.06981429244786)"
55.91,26.5,61.37,116.78,51.23,5.27,Sandy Clay Loam,"(24.43483836246346, 465.47047247273065)"
62.65,43.45,31.97,140.67,58.21,5.72,Clayey Loam,"(17.492819080850012, 195.60842072744305)"
56.85,41.79,64.13,65.36,92.23,5.82,Sandy Clay Loam,"(18.076336262540504, 164.26121569437743)"
60.04,19.82,38.47,137.22,53.2,7.32,Sandy Loam,"(26.805903426959357, 499.43070636960204)"
52.8,17.63,32.57,97.68,76.06,6.89,Sandy Clay Loam,"(27.004559757580395, 195.18301229355777)"
50.07,47.25,48.04,100.95,97.52,8.05,Silty Clay,"(29.73672276605931, 315.6802788798054)"
61.15,48.77,44.82,84.06,56.48,7.61,Silty Clay Loam,"(24.795171065627997, 463.4701330639412)"
55.83,43.13,51.81,116.84,47.18,8.19,Silty Clay,"(27.917154238393938, 151.71619680500697)"
63.9,36.39,57.01,71.72,80.03,5.76,Sandy Loam,"(29.483860548307895, 398.7525177250354)"
54.45,44.91,48.48,108.88,20.96,5.5,Silty Clay Loam,"(16.15909209203127, 289.1429703356281)"
34.68,38.63,39.14,115.76,26.55,7.62,Clayey Loam,"(29.7452684368253, 139.04083056817524)"
36.19,30.76,40.96,78.07,49.28,6.58,Silty Clay,"(16.606118501831673, 173.13346110222602)"
53.16,24.29,32.32,63.0,67.71,7.04,Silty Clay,"(22.853737976668775, 383.30185207027364)"
34.74,25.33,63.26,107.95,35.61,7.7,Clayey Loam,"(16.205573792331695, 459.7577789449511)"
60.78,28.01,31.23,74.71,90.16,6.47,Sandy Clay Loam,"(22.207100111526344, 406.7285226525472)"
56.92,40.85,31.73,59.62,77.18,8.21,Sandy Clay Loam,"(17.852714846591446, 157.54957563574067)"
39.84,15.59,40.96,55.98,28.64,5.63,Sandy Clay Loam,"(25.13859147923513, 133.30455822469494)"
50.8,20.53,56.03,123.11,59.79,7.63,Sandy Loam,"(18.176178304367966, 159.60193476513473)"
62.58,47.14,26.39,42.03,81.72,5.81,Loam,"(21.62527063631573, 361.3606224988527)"
60.67,15.15,59.89,109.92,63.27,6.88,Sandy Loam,"(18.191907525170485, 250.87712262952658)"
30.71,27.29,48.1,103.63,39.07,6.24,Sandy Clay Loam,"(25.4409501353512, 357.6875024167724)"
47.6,30.08,36.9,134.68,55.89,6.62,Sandy,"(27.456819387860854, 364.1694127763687)"
38.14,47.76,34.15,77.56,33.52,4.06,Silty Clay,"(26.380294793023822, 324.9386104249777)"
44.52,22.69,31.13,69.04,61.44,6.26,Silty Clay,"(16.02405540843368, 326.98813341788275)"
33.65,34.37,48.77,103.03,49.61,5.98,Sandy Loam,"(29.998404577063482, 221.61472652545524)"
63.0,19.37,51.13,85.56,82.28,6.02,Silty Clay Loam,"(27.68182607940092, 246.82360714357606)"
30.32,31.22,42.8,106.92,82.53,6.75,Loam,"(31.896189890058253, 174.51935402128254)"
36.61,41.39,26.82,98.09,40.95,8.24,Silty Clay Loam,"(20.671371354432193, 328.6122140743797)"
39.89,18.04,52.79,48.5,21.07,5.99,Sandy,"(19.497460782011046, 272.417488600002)"
48.07,37.07,28.83,142.88,29.54,4.99,Silty Clay Loam,"(25.849536670389107, 320.88802557967983)"
53.03,39.91,62.64,98.77,25.91,7.98,Sandy Clay Loam,"(15.712133381100767, 415.3358612189478)"
40.88,38.05,74.06,99.32,20.81,6.16,Sandy Loam,"(22.375178185200447, 475.1176654065931)"
57.61,43.91,52.48,137.35,27.76,5.7,Silty Clay,"(22.458849805521822, 434.58850546840364)"
49.12,33.53,34.56,60.87,28.05,7.76,Loam,"(26.82124859520347, 276.2640875424743)"
67.4,33.58,47.69,80.99,26.34,6.84,Silty Clay Loam,"(18.775904326018896, 215.27535348920367)"
45.28,45.49,50.65,118.25,28.38,5.42,Sandy Clay Loam,"(27.313712743876174, 456.5176311888785)"
67.0,29.66,66.17,88.18,34.06,4.78,Sandy Clay Loam,"(31.389770197568367, 120.82744568934808)"
64.87,45.12,60.87,140.89,45.1,4.25,Sandy,"(15.084165596313774, 292.41722677935104)"
55.31,18.56,26.85,100.68,20.53,4.17,Sandy,"(24.154080135912324, 180.17572065752614)"
55.94,49.58,71.1,44.61,20.74,5.75,Loam,"(27.75512977029077, 476.35950968898584)"
58.03,48.97,74.8,62.98,89.44,6.72,Silty Clay Loam,"(19.88825033435824, 349.8650233532745)"
53.43,25.79,26.53,140.15,43.24,6.66,Sandy,"(27.474717841140915, 135.09076106662945)"
64.58,17.37,72.28,86.7,38.59,5.94,Sandy Clay Loam,"(16.066268471770602, 267.72858047617535)"
61.31,26.47,34.91,110.43,22.18,7.35,Loam,"(21.0876774410026, 171.77234124146537)"
68.78,44.38,27.65,137.32,35.52,6.85,Loam,"(16.150962970892397, 204.95221759521652)"
49.5,20.21,36.62,62.25,33.45,5.63,Silty Clay Loam,"(17.23497700855929, 300.7787982409293)"
63.33,17.24,43.23,41.76,98.7,6.51,Clayey Loam,"(31.61665748521128, 304.40415102423106)"
35.43,24.5,47.06,40.63,23.06,4.17,Clayey Loam,"(23.874744417561033, 463.84088925861977)"
60.73,29.52,37.8,86.15,26.2,7.63,Loam,"(20.665439786277044, 489.1118987277046)"
38.63,39.22,71.71,101.86,45.99,5.58,Loam,"(31.417882522753295, 398.5985515133574)"
33.21,47.26,51.56,68.03,98.36,4.58,Silty Clay,"(25.55586105265497, 455.37436269678494)"
37.2,41.49,34.55,140.87,30.48,6.96,Sandy,"(24.501097943919838, 403.88271522675797)"
40.63,19.6,43.84,85.5,85.7,7.78,Sandy Clay Loam,"(31.562953223100617, 255.47465687071252)"
65.34,42.09,43.11,132.11,36.34,4.07,Clayey Loam,"(30.89768449330529, 316.57226472763773)"
31.48,39.96,49.6,149.62,25.5,5.96,Sandy,"(24.566160453336888, 314.88974993650277)"
47.4,44.82,43.14,103.05,80.76,4.93,Clayey Loam,"(20.750730360177947, 488.86401639890136)"
49.64,21.55,71.82,147.77,99.03,6.96,Sandy Clay Loam,"(20.58573487200193, 352.18670034859076)"
59.5,36.57,27.9,80.37,58.85,7.14,Silty Clay Loam,"(30.285743491361785, 420.8488887294064)"
52.49,41.89,74.13,49.89,22.12,5.88,Sandy Loam,"(27.773869090744917, 263.89484384928835)"
38.44,47.97,67.29,119.88,97.51,6.22,Silty Clay Loam,"(17.431739896619117, 304.6963657312755)"
35.06,42.24,36.88,135.52,53.8,5.64,Sandy,"(20.070305848150294, 202.70836760513362)"
60.08,34.93,52.51,114.27,46.35,8.16,Silty Clay,"(20.98596832590806, 423.3193341748842)"
36.22,46.6,45.47,44.61,31.49,6.64,Sandy Clay Loam,"(30.791317740138958, 477.4585359074845)"
37.06,37.85,68.82,143.05,38.24,7.49,Silty Clay Loam,"(29.908288895846916, 141.88343658858102)"
63.95,20.34,31.9,98.68,87.39,7.59,Sandy Clay Loam,"(31.46556732124212, 332.91881360665775)"
50.11,23.82,28.16,107.34,89.28,4.47,Silty Clay Loam,"(23.649405519654927, 132.4569857138837)"
45.16,18.72,69.31,125.83,59.87,6.81,Loam,"(16.874401680759497, 309.4455565009261)"
42.82,30.06,56.43,119.17,49.09,8.43,Sandy,"(30.771448543890855, 136.57845781112235)"
61.52,39.82,31.07,43.87,72.6,6.53,Silty Clay Loam,"(18.464601571009542, 148.06932039002567)"
48.25,19.42,62.98,112.6,98.83,5.69,Loam,"(21.222258157802933, 351.64863016386334)"
41.98,20.33,55.33,76.43,46.18,5.75,Silty Clay Loam,"(26.270569664674973, 420.476128386923)"
57.25,32.93,43.14,48.63,75.05,8.14,Clayey Loam,"(21.217774884207305, 155.97458399205146)"
57.15,39.6,65.65,106.62,63.67,7.64,Sandy Clay Loam,"(26.019905178173843, 152.7652245557405)"
58.47,31.4,53.98,142.49,97.15,6.5,Sandy Loam,"(22.08179684224355, 425.04115219825457)"
35.94,18.72,53.03,130.05,49.32,7.69,Clayey Loam,"(23.097860112784286, 357.2198281139228)"
37.23,45.48,46.65,65.4,42.0,4.08,Loam,"(28.30153091848116, 336.477309023374)"
52.59,15.05,40.61,75.22,75.76,7.47,Sandy Clay Loam,"(27.020186996145313, 492.14502250030586)"
40.18,48.59,36.42,73.98,38.66,6.35,Sandy Loam,"(28.776801395936268, 381.3855597330049)"
59.19,17.94,53.14,111.94,91.21,8.09,Sandy Loam,"(25.84252008808488, 168.67766401528706)"
60.17,33.63,38.41,112.09,31.24,6.69,Silty Clay Loam,"(20.488335390613457, 446.70269677474545)"
60.32,47.6,38.5,44.0,97.35,5.95,Silty Clay Loam,"(24.178864647389865, 145.39408230821562)"
45.05,15.92,68.22,43.87,85.86,4.27,Silty Clay Loam,"(19.72053245331189, 491.64066811153185)"
64.68,29.32,49.51,87.88,37.35,5.9,Sandy Loam,"(30.793391027833266, 243.06464921511082)"
52.88,22.98,48.27,43.97,42.98,6.26,Sandy,"(26.08031485837544, 484.57411825259277)"
69.78,31.87,44.93,81.41,33.98,8.04,Sandy Loam,"(24.208127160114966, 427.18598719738844)"
51.0,17.69,29.45,48.58,44.79,4.6,Loam,"(15.060561383219712, 303.3750783968927)"
42.84,18.54,58.1,75.92,95.12,7.86,Sandy Loam,"(23.143189232015935, 481.194856148823)"
60.71,28.07,64.2,110.53,40.53,6.15,Sandy Loam,"(25.123321402106207, 411.4215607482499)"
66.04,18.81,29.44,44.55,28.35,7.43,Silty Clay,"(21.108837171186693, 207.07053212162748)"
36.05,18.15,46.06,58.02,33.5,7.89,Clayey Loam,"(22.930320602159732, 445.7845069310825)"
49.01,27.75,58.21,111.27,43.76,5.87,Sandy Loam,"(15.029445045147927, 164.80932459734692)"
39.3,41.07,35.81,77.69,60.79,6.36,Clayey Loam,"(29.15716801071656, 484.04728535280657)"
41.96,17.64,43.21,97.22,35.58,5.68,Sandy Clay Loam,"(31.06046974596276, 436.88320495033287)"
54.1,46.61,38.12,127.82,55.06,6.38,Sandy Loam,"(22.87983494945321, 402.30482853159685)"
38.67,25.2,74.8,53.47,33.88,6.1,Sandy,"(24.406866019596535, 333.24609159081876)"
49.91,38.11,53.46,115.85,62.78,5.07,Silty Clay Loam,"(31.349581176635045, 308.94882302409)"
66.47,26.11,56.12,144.58,54.61,5.23,Sandy,"(17.172534727028726, 131.25616114683075)"
46.67,48.13,72.44,119.76,54.45,5.61,Sandy Clay Loam,"(20.955024589805962, 296.8741274418234)"
40.47,31.0,50.15,139.17,84.41,6.6,Clayey Loam,"(29.89559408399606, 422.42917812875544)"
61.35,35.92,71.35,137.42,99.58,7.31,Sandy,"(18.727389518189053, 191.40672477827584)"
48.62,18.34,47.84,47.81,33.6,5.41,Clayey Loam,"(22.44220371383641, 172.00853030048677)"
61.56,29.79,25.36,100.55,87.62,8.43,Silty Clay Loam,"(23.65000814961354, 351.2192021717116)"
48.95,31.9,55.18,129.0,31.29,4.19,Loam,"(15.270704812094383, 364.56213733347306)"
30.45,27.01,66.48,107.65,91.79,5.52,Loam,"(27.386527169671123, 157.7800329152699)"
65.54,41.43,72.47,85.28,49.13,5.49,Silty Clay Loam,"(23.138604871515113, 434.1453448663121)"
33.2,42.3,28.19,91.49,50.69,5.82,Silty Clay Loam,"(16.361389073231454, 485.7646190117279)"
62.95,47.15,42.19,77.21,42.28,7.25,Sandy Loam,"(20.543988598901556, 347.72825533443705)"
65.6,22.19,44.25,65.23,32.71,8.09,Loam,"(25.265792264179666, 161.50484752495123)"
44.97,40.02,32.15,126.6,49.16,6.05,Sandy Loam,"(15.095679624886332, 237.6132013425797)"
63.65,26.79,32.81,142.67,68.79,6.3,Silty Clay,"(18.87331533881955, 266.22977370818387)"
67.73,17.4,53.66,109.44,48.03,4.31,Clayey Loam,"(18.18675895207733, 488.34120281050514)"
31.25,32.98,49.75,42.83,65.69,5.98,Loam,"(22.10789301058139, 266.74868257851006)"
59.23,21.35,49.63,118.71,86.56,5.94,Silty Clay,"(30.426588429822395, 462.11931546326866)"
64.9,24.99,69.64,82.38,69.15,8.38,Silty Clay,"(30.937825531637962, 301.0856532350467)"
43.11,40.49,34.25,99.19,51.19,4.4,Sandy,"(29.935636435058044, 378.3146436092268)"
55.95,19.31,29.75,138.53,71.86,7.88,Sandy,"(23.333540090727194, 175.33913073178468)"
65.06,18.93,62.79,66.63,96.85,5.2,Silty Clay Loam,"(15.366163601269022, 260.62639084660964)"
68.2,23.26,31.14,121.09,70.13,6.69,Sandy Clay Loam,"(19.86328299445884, 194.7279443819204)"
44.61,19.17,40.41,106.11,62.81,6.71,Silty Clay Loam,"(24.793185719072138, 168.2687654057528)"
52.33,27.11,28.55,149.27,52.43,8.33,Sandy,"(16.04412694649263, 203.66556652929603)"
51.17,31.15,70.24,113.76,35.86,5.01,Sandy Clay Loam,"(24.96713718347352, 346.97065674913017)"
